City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
552,Maniitsoq,GL,36.79,broken clouds,65.4167,-52.9,Hotel Heilmann Lyberth
555,Leshukonskoye,RU,31.71,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
559,Rtishchevo,RU,42.04,overcast clouds,52.2604,43.7874,Inn on 50 Let Oktyabrya 19
574,Okha,RU,41.38,broken clouds,53.5739,142.9478,Sakhalin-Sfera
576,Floro,NO,48.16,broken clouds,61.5996,5.0328,Kinn Hotell Florø
581,Mirnyy,RU,48.24,overcast clouds,62.5353,113.9611,квартира
587,Willowmore,ZA,48.38,light rain,-33.2926,23.4895,Jumper's Place
599,Green River,US,43.2,overcast clouds,41.5286,-109.4662,Hampton Inn & Suites Green River
603,Patacamaya,BO,43.52,scattered clouds,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
604,San Luis,AR,46.11,broken clouds,-33.295,-66.3356,Huarpes Hotel
609,Skjervoy,NO,35.6,overcast clouds,70.0311,20.9714,Skjervøy fiskecamp AS
611,Klaksvik,FO,48.99,overcast clouds,62.2266,-6.589,Airbnb rooms
612,Gillette,US,43.95,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
613,Amasia,TR,40.73,scattered clouds,40.6533,35.8331,Lalehan Hotel
615,Macusani,PE,35.44,overcast clouds,-14.0833,-70.4333,"Hospedaje ""Arca de Noe"""
621,Salym,RU,45.63,overcast clouds,60.0625,71.4789,Gostinitsa Salym
622,Cay,TR,41.11,scattered clouds,38.5917,31.0286,Çay Öğretmenevi
627,El Angel,EC,42.75,overcast clouds,0.6167,-77.9333,Polylepis Lodge
636,Chernyshevskiy,RU,45.73,overcast clouds,63.0128,112.4714,Chernyseyskiy
644,Kommunar,RU,39.43,broken clouds,59.6206,30.39,Guest House Izhora
646,Concordia,AR,44.78,overcast clouds,-31.393,-58.0209,Palmar Hotel Casino
651,Tommot,RU,46.29,light rain,58.9564,126.2925,Gostinitsa Tommot
656,Bolu,TR,36.39,clear sky,40.6667,31.5833,Sefa Green Hotel
663,Muyezerskiy,RU,32.47,few clouds,63.9333,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
668,Ust-Nera,RU,41.49,overcast clouds,64.5667,143.2,Hotel Ust-Nera
678,Naryan-Mar,RU,30.18,scattered clouds,67.6713,53.087,Hostel Agat
686,Longyearbyen,SJ,28.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
694,Yar-Sale,RU,33.82,overcast clouds,66.8333,70.8333,Yalemd
697,Havre-Saint-Pierre,CA,40.28,clear sky,50.2334,-63.5986,Auberge Niapiskau
701,Viedma,AR,48.18,overcast clouds,-40.8135,-62.9967,Hotel Cristal
707,Severo-Yeniseyskiy,RU,49.26,moderate rain,60.3725,93.0408,Aktolik
