City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Trinidad,BO,-14.8333,-64.9,58.35,56,100,2.59,overcast clouds
118,Sibanicu,CU,21.235,-77.5264,73.85,90,100,8.1,overcast clouds
119,Port Alfred,ZA,-33.5906,26.891,56.17,96,100,3.0,moderate rain
120,Diamantino,BR,-14.4086,-56.4461,51.73,60,100,1.01,overcast clouds
121,Medowie,AU,-32.7333,151.8667,60.98,98,75,9.22,broken clouds
122,Lompoc,US,34.6391,-120.4579,66.85,69,0,32.01,clear sky
123,Ambulu,ID,-8.345,113.6058,82.65,74,97,1.03,overcast clouds
124,Hilo,US,19.7297,-155.09,80.33,83,100,12.66,overcast clouds
125,Gushikawa,JP,26.3544,127.8686,76.23,94,75,9.22,moderate rain
126,Matay,EG,28.419,30.7792,76.14,22,83,4.92,broken clouds
127,Maldonado,UY,-34.6667,-54.9167,44.22,90,3,4.52,clear sky
128,Timra,SE,62.487,17.3257,38.88,70,100,4.61,overcast clouds
129,Chifeng,CN,42.2683,118.9636,75.27,20,0,2.68,clear sky
130,Garissa,KE,-0.4536,39.6401,73.49,86,84,13.78,broken clouds
131,Kalaleh,IR,37.3807,55.4916,72.25,41,0,5.61,clear sky
132,Okhotsk,RU,59.3833,143.3,34.39,96,100,8.99,light snow
133,Bubaque,GW,11.2833,-15.8333,78.55,83,93,16.2,overcast clouds
134,Nikolskoye,RU,59.7035,30.7861,39.79,80,55,3.96,broken clouds
135,Itoman,JP,26.1247,127.6694,77.02,94,75,16.11,moderate rain
136,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,17.27,few clouds
137,Berlevag,NO,70.8578,29.0864,33.75,69,100,4.61,overcast clouds
138,Prainha,BR,-1.8,-53.48,71.6,98,98,2.64,overcast clouds
139,Cooma,AU,-36.2333,149.1333,52.12,56,29,2.24,scattered clouds
140,Arukutti,IN,9.8667,76.35,78.78,87,100,5.08,overcast clouds
141,Fortuna,US,40.5982,-124.1573,55.65,71,85,11.01,overcast clouds
142,Pevek,RU,69.7008,170.3133,32.9,99,100,4.07,overcast clouds
143,Calama,CL,-22.4667,-68.9333,51.62,26,1,5.66,clear sky
144,Temple,US,31.0982,-97.3428,86.04,53,0,21.85,clear sky
145,Faanui,PF,-16.4833,-151.75,80.96,68,5,9.93,clear sky
146,Hofn,IS,64.2539,-15.2082,47.43,93,100,9.4,overcast clouds
147,Iskateley,RU,67.6803,53.1512,29.62,87,45,7.65,scattered clouds
148,Bethel,US,41.3712,-73.414,57.36,91,0,0.0,clear sky
149,Tuktoyaktuk,CA,69.4541,-133.0374,32.04,85,100,4.59,overcast clouds
150,Camacha,PT,33.0833,-16.3333,63.82,88,40,0.0,scattered clouds
151,Goure,NE,13.9835,10.2704,88.02,34,56,5.86,broken clouds
152,Auki,SB,-8.7676,160.7034,84.4,70,21,4.16,few clouds
153,Sisimiut,GL,66.9395,-53.6735,39.56,52,25,8.28,scattered clouds
154,Lingao,CN,19.9103,109.6859,80.78,77,71,6.55,broken clouds
155,Novosemeykino,RU,53.3833,50.3667,43.12,70,0,0.0,clear sky
156,Taltal,CL,-25.4,-70.4833,59.85,83,0,2.42,clear sky
157,Pascagoula,US,30.3658,-88.5561,80.65,80,0,3.44,clear sky
158,Punta Arenas,CL,-53.15,-70.9167,42.91,93,100,10.36,fog
159,Cherskiy,RU,68.75,161.3,56.97,40,51,13.13,broken clouds
